dut_speed,dut_decel,dut_dist,foe_speed,foe_dist,envelope_id
31.0,7.3,60.0,36.0,70.0,0
31.0,7.3,59.0,36.0,71.0,0
31.0,7.3,59.0,36.0,70.0,0
28.0,8.7,51.0,38.0,70.0,0
31.0,8.600000000000001,51.0,37.0,68.0,0
29.0,8.7,51.0,37.0,69.0,0
29.0,8.7,51.0,37.0,70.0,0
33.0,7.3,58.0,34.0,73.0,0
31.0,7.4,60.0,36.0,69.0,0
31.0,7.5,62.0,35.0,67.0,0
31.0,7.6000000000000005,62.0,35.0,66.0,0
34.0,8.3,44.0,40.0,62.0,0
32.0,8.3,49.0,41.0,62.0,0
33.0,8.3,46.0,41.0,62.0,0
33.0,8.3,45.0,40.0,62.0,0
34.0,8.100000000000001,41.0,41.0,62.0,0
34.0,8.4,42.0,39.0,62.0,0
33.0,8.5,45.0,39.0,61.0,0
34.0,8.5,43.0,39.0,62.0,0
32.0,8.0,46.0,41.0,62.0,0
34.0,8.0,45.0,40.0,65.0,0
34.0,8.2,46.0,41.0,66.0,0
34.0,8.100000000000001,45.0,40.0,66.0,0
41.0,6.9,4.0,42.0,94.0,100
13.0,9.2,24.0,48.0,4.0,100
35.0,3.3,44.0,15.0,13.0,100
24.0,5.6,64.0,20.0,22.0,100
47.0,7.9,84.0,26.0,31.0,100
10.0,4.0,8.0,32.0,40.0,100
32.0,6.4,28.0,37.0,49.0,100
21.0,8.7,48.0,43.0,58.0,100
44.0,4.8,68.0,49.0,67.0,100
16.0,7.1000000000000005,88.0,15.0,77.0,100
38.0,9.5,12.0,21.0,86.0,100
27.0,3.5,32.0,27.0,95.0,100
49.0,5.9,52.0,32.0,5.0,100
5.0,8.2,72.0,38.0,14.0,100
28.0,4.3,92.0,44.0,23.0,100
17.0,6.6,16.0,50.0,32.0,100
39.0,9.0,36.0,11.0,41.0,100
11.0,5.1,56.0,16.0,50.0,100
34.0,7.4,76.0,22.0,59.0,100
22.0,9.7,96.0,28.0,68.0,100
45.0,3.1,1.0,33.0,77.0,100
8.0,5.4,21.0,39.0,86.0,100
31.0,7.800000000000001,41.0,45.0,96.0,100
19.0,3.9,61.0,11.0,5.0,100
42.0,6.2,81.0,17.0,15.0,100
14.0,8.5,5.0,23.0,24.0,100
36.0,4.6,25.0,28.0,33.0,100
25.0,7.0,45.0,34.0,42.0,100
48.0,9.3,65.0,40.0,51.0,100
7.0,3.3,85.0,46.0,60.0,100
29.0,5.7,9.0,12.0,69.0,100
18.0,8.0,29.0,18.0,78.0,100
41.0,4.1,49.0,24.0,87.0,100
12.0,6.5,69.0,29.0,96.0,100
35.0,8.8,89.0,35.0,6.0,100
24.0,4.9,13.0,41.0,15.0,100
46.0,7.2,33.0,46.0,24.0,100
10.0,9.600000000000001,53.0,13.0,34.0,100
32.0,3.6,73.0,19.0,43.0,100
21.0,5.9,93.0,24.0,52.0,100
43.0,8.3,17.0,30.0,61.0,100
15.0,4.4,37.0,36.0,70.0,100
38.0,6.7,57.0,42.0,79.0,100
26.0,9.100000000000001,77.0,47.0,88.0,100
49.0,5.2,97.0,14.0,97.0,100
6.0,7.5,2.0,20.0,7.0,100
29.0,9.8,22.0,25.0,16.0,100
17.0,3.2,42.0,31.0,25.0,100
40.0,5.5,62.0,37.0,34.0,100
12.0,7.800000000000001,82.0,42.0,43.0,100
34.0,4.0,6.0,48.0,53.0,100
23.0,6.300000000000001,26.0,15.0,62.0,100
45.0,8.600000000000001,46.0,20.0,71.0,100
9.0,4.7,66.0,26.0,80.0,100
31.0,7.1000000000000005,86.0,32.0,89.0,100
20.0,9.4,10.0,37.0,98.0,100
43.0,3.4,30.0,43.0,8.0,100
15.0,5.800000000000001,50.0,49.0,17.0,100
37.0,8.100000000000001,70.0,15.0,26.0,100
26.0,4.2,90.0,21.0,35.0,100
48.0,6.5,14.0,27.0,44.0,100
8.0,8.9,34.0,33.0,53.0,100
30.0,5.0,54.0,38.0,62.0,100
19.0,7.3,74.0,44.0,72.0,100
41.0,9.7,94.0,50.0,81.0,100
13.0,3.7,18.0,11.0,90.0,100
36.0,6.0,38.0,16.0,99.0,100
24.0,8.4,58.0,22.0,9.0,100
47.0,4.5,78.0,28.0,18.0,100
10.0,6.800000000000001,98.0,34.0,27.0,100
33.0,9.100000000000001,3.0,39.0,36.0,100
22.0,5.2,23.0,45.0,45.0,100
44.0,7.6000000000000005,43.0,11.0,54.0,100
16.0,9.9,63.0,17.0,63.0,100
38.0,3.0,83.0,23.0,72.0,100
27.0,5.4,7.0,29.0,81.0,100
50.0,7.7,27.0,34.0,91.0,100
5.0,3.8,47.0,40.0,100.0,100
28.0,6.1,67.0,46.0,1.0,100
